"n_altas"|"C_FECHA_CAMBIO_ESTADO"
73|"2019-04-28"
638|"2018-06-19"
668|"2019-06-04"
917|"2020-07-04"
142|"2020-02-23"
852|"2021-01-25"
636|"2019-06-12"
611|"2018-07-26"
941|"2021-01-28"
491|"2019-01-31"
600|"2018-11-08"
18|"2021-01-01"
642|"2018-10-04"
908|"2021-02-06"
878|"2020-11-19"
834|"2022-07-15"
586|"2019-12-30"
929|"2020-03-17"
830|"2018-06-06"
711|"2022-07-02"
650|"2019-06-21"
595|"2019-09-17"
915|"2019-07-30"
840|"2020-05-04"
611|"2019-07-03"
941|"2020-05-28"
2|"2018-06-03"
830|"2020-11-13"
590|"2019-02-14"
716|"2021-12-16"
470|"2020-02-04"
636|"2019-11-26"
3|"2019-01-20"
850|"2021-09-09"
865|"2022-07-28"
689|"2019-12-03"
740|"2022-05-06"
28|"2021-06-20"
730|"2020-01-17"
1|"2021-08-08"
598|"2019-09-04"
858|"2022-03-31"
1118|"2020-07-07"
794|"2020-12-12"
696|"2019-11-20"
504|"2019-06-29"
262|"2019-04-20"
860|"2022-02-07"
818|"2020-05-09"
602|"2019-06-20"
1102|"2020-04-03"
790|"2021-06-15"
777|"2022-07-09"
722|"2019-04-25"
1255|"2020-07-13"
578|"2019-12-19"
1120|"2020-08-06"
635|"2019-05-03"
494|"2021-12-27"
764|"2022-07-05"
1194|"2020-08-19"
523|"2019-05-24"
888|"2022-02-09"
1011|"2020-05-29"
6|"2021-10-03"
644|"2018-07-23"
333|"2020-12-24"
965|"2020-10-28"
923|"2021-01-15"
340|"2021-12-24"
823|"2021-07-24"
875|"2022-03-16"
791|"2020-02-26"
627|"2018-10-02"
62|"2022-05-22"
800|"2021-10-08"
6|"2018-10-12"
598|"2018-09-21"
10|"2019-07-28"
773|"2021-04-28"
589|"2019-06-15"
539|"2019-01-26"
1046|"2020-04-02"
1146|"2020-07-28"
756|"2021-06-09"
720|"2021-09-17"
972|"2021-03-05"
657|"2019-11-12"
133|"2020-10-25"
1035|"2020-04-21"
8|"2018-11-11"
15|"2021-12-19"
582|"2018-11-27"
647|"2019-07-19"
833|"2021-10-05"
531|"2019-08-21"
917|"2021-08-10"
22|"2022-02-20"
804|"2022-04-07"
834|"2021-05-21"
943|"2020-10-17"
977|"2020-06-03"
1089|"2021-02-16"
647|"2018-10-23"
2|"2019-05-05"
754|"2021-09-06"
582|"2019-01-10"
822|"2020-02-15"
205|"2020-08-17"
528|"2019-12-14"
3|"2018-09-30"
519|"2019-10-11"
691|"2019-04-09"
1150|"2020-06-24"
802|"2022-06-29"
691|"2018-08-31"
862|"2020-03-14"
715|"2021-06-25"
892|"2020-03-11"
584|"2019-09-07"
942|"2021-01-12"
751|"2022-06-24"
914|"2022-02-04"
889|"2022-01-21"
838|"2021-05-13"
639|"2019-10-23"
803|"2021-06-17"
778|"2022-04-23"
704|"2020-12-07"
880|"2021-08-12"
588|"2018-07-10"
28|"2022-05-01"
840|"2022-03-11"
701|"2019-08-05"
589|"2019-08-10"
847|"2022-02-12"
873|"2022-08-04"
823|"2021-05-08"
1228|"2020-06-16"
6|"2019-09-01"
709|"2021-11-09"
1194|"2020-08-20"
4|"2020-07-20"
687|"2019-09-25"
571|"2018-11-22"
431|"2018-12-26"
855|"2020-12-04"
675|"2018-06-22"
785|"2020-02-07"
592|"2019-12-16"
809|"2021-05-10"
776|"2018-06-09"
887|"2020-11-27"
755|"2021-06-04"
2|"2020-10-04"
961|"2018-08-01"
1178|"2020-07-31"
524|"2018-06-28"
655|"2019-05-08"
731|"2020-01-14"
719|"2021-05-29"
810|"2021-09-03"
642|"2018-09-11"
980|"2021-02-08"
535|"2018-10-18"
885|"2022-03-24"
841|"2021-08-27"
1171|"2020-08-14"
163|"2019-02-03"
772|"2022-07-01"
699|"2021-10-02"
819|"2022-05-03"
691|"2019-09-09"
664|"2018-11-14"
758|"2021-06-28"
957|"2022-02-15"
771|"2021-07-08"
1005|"2020-06-27"
792|"2021-07-06"
940|"2021-03-12"
955|"2020-11-03"
801|"2020-11-28"
12|"2022-07-04"
832|"2021-01-07"
883|"2022-08-03"
38|"2020-12-20"
562|"2019-04-12"
578|"2019-01-23"
8|"2022-04-15"
554|"2019-05-16"
10|"2018-12-23"
592|"2018-10-20"
788|"2022-06-16"
598|"2019-05-07"
587|"2018-11-06"
602|"2019-07-05"
844|"2022-03-14"
666|"2020-12-28"
643|"2018-08-17"
954|"2021-03-31"
962|"2020-04-29"
664|"2021-11-23"
1095|"2020-06-20"
661|"2019-09-28"
796|"2020-01-24"
802|"2021-07-16"
2|"2020-03-01"
767|"2021-06-01"
567|"2019-01-21"
1227|"2020-03-30"
598|"2022-01-08"
82|"2022-03-27"
574|"2018-12-18"
1037|"2021-02-11"
687|"2022-05-09"
747|"2019-08-26"
796|"2021-11-25"
776|"2019-07-11"
648|"2019-10-05"
589|"2018-11-19"
780|"2020-09-26"
618|"2019-06-07"
667|"2018-08-04"
982|"2020-09-02"
634|"2022-01-05"
771|"2019-02-06"
726|"2018-07-18"
895|"2020-11-12"
1066|"2020-10-01"
551|"2019-07-23"
0|"2019-08-19"
162|"2019-10-27"
863|"2021-08-05"
579|"2018-12-10"
277|"2021-08-07"
865|"2022-03-22"
4|"2021-08-15"
6|"2019-09-15"
1100|"2021-03-02"
660|"2019-12-02"
20|"2022-06-19"
964|"2021-03-10"
899|"2022-02-01"
45|"2022-07-20"
687|"2018-10-31"
642|"2019-10-01"
757|"2020-01-16"
810|"2020-12-15"
35|"2020-01-19"
924|"2020-11-24"
1146|"2020-07-23"
47|"2020-11-08"
899|"2020-08-01"
1070|"2020-04-24"
36|"2020-02-02"
1|"2019-02-17"
803|"2020-07-18"
706|"2020-12-18"
901|"2021-03-11"
855|"2020-12-10"
647|"2019-09-02"
652|"2019-05-22"
414|"2022-01-03"
605|"2019-12-20"
620|"2019-12-17"
