"n_altas"|"C_FECHA_CAMBIO_ESTADO"
73|"2019-04-28"
20|"2022-06-19"
675|"2019-06-04"
917|"2020-07-04"
142|"2020-02-23"
852|"2021-01-25"
636|"2019-06-12"
758|"2020-01-16"
944|"2021-01-28"
499|"2019-01-31"
924|"2020-11-24"
18|"2021-01-01"
47|"2020-11-08"
908|"2021-02-06"
879|"2020-11-19"
841|"2022-07-15"
586|"2019-12-30"
929|"2020-03-17"
708|"2020-12-18"
715|"2022-07-02"
653|"2019-06-21"
724|"2019-09-17"
916|"2019-07-30"
840|"2020-05-04"
611|"2019-07-03"
941|"2020-05-28"
1036|"2020-03-25"
830|"2020-11-13"
595|"2019-02-14"
718|"2021-12-16"
470|"2020-02-04"
636|"2019-11-26"
3|"2019-01-20"
852|"2021-09-09"
869|"2022-07-28"
693|"2019-12-03"
744|"2022-05-06"
28|"2021-06-20"
730|"2020-01-17"
1|"2021-08-08"
689|"2019-09-04"
860|"2022-03-31"
1119|"2020-07-07"
794|"2020-12-12"
696|"2019-11-20"
504|"2019-06-29"
262|"2019-04-20"
862|"2022-02-07"
818|"2020-05-09"
610|"2019-06-20"
1102|"2020-04-03"
791|"2021-06-15"
783|"2022-07-09"
722|"2019-04-25"
1255|"2020-07-13"
578|"2019-12-19"
1122|"2020-08-06"
636|"2019-05-03"
495|"2021-12-27"
774|"2022-07-05"
1195|"2020-08-19"
523|"2019-05-24"
890|"2022-02-09"
1011|"2020-05-29"
6|"2021-10-03"
431|"2019-11-23"
334|"2020-12-24"
965|"2020-10-28"
924|"2021-01-15"
340|"2021-12-24"
828|"2021-07-24"
876|"2022-03-16"
797|"2020-02-26"
1|"2020-05-10"
62|"2022-05-22"
801|"2021-10-08"
131|"2019-06-23"
825|"2022-03-08"
10|"2019-07-28"
778|"2021-04-28"
589|"2019-06-15"
540|"2019-01-26"
1046|"2020-04-02"
1146|"2020-07-28"
759|"2021-06-09"
721|"2021-09-17"
984|"2021-03-05"
658|"2019-11-12"
133|"2020-10-25"
1035|"2020-04-21"
582|"2019-04-13"
15|"2021-12-19"
800|"2021-01-23"
650|"2019-07-19"
834|"2021-10-05"
561|"2019-08-21"
919|"2021-08-10"
22|"2022-02-20"
806|"2022-04-07"
834|"2021-05-21"
944|"2020-10-17"
977|"2020-06-03"
1090|"2021-02-16"
1035|"2021-02-25"
2|"2019-05-05"
754|"2021-09-06"
586|"2019-01-10"
822|"2020-02-15"
205|"2020-08-17"
528|"2019-12-14"
596|"2019-04-26"
520|"2019-10-11"
703|"2019-04-09"
1150|"2020-06-24"
807|"2022-06-29"
685|"2022-05-07"
862|"2020-03-14"
715|"2021-06-25"
893|"2020-03-11"
594|"2019-09-07"
942|"2021-01-12"
755|"2022-06-24"
915|"2022-02-04"
892|"2022-01-21"
846|"2021-05-13"
665|"2019-10-23"
805|"2021-06-17"
778|"2022-04-23"
704|"2020-12-07"
886|"2021-08-12"
1|"2019-07-14"
28|"2022-05-01"
843|"2022-03-11"
703|"2019-08-05"
589|"2019-08-10"
850|"2022-02-12"
877|"2022-08-04"
825|"2021-05-08"
1228|"2020-06-16"
6|"2019-09-01"
712|"2021-11-09"
1194|"2020-08-20"
4|"2020-07-20"
725|"2019-09-25"
839|"2020-09-21"
1|"2020-08-09"
855|"2020-12-04"
838|"2021-03-13"
785|"2020-02-07"
592|"2019-12-16"
809|"2021-05-10"
589|"2020-01-09"
887|"2020-11-27"
756|"2021-06-04"
2|"2020-10-04"
549|"2019-07-10"
1178|"2020-07-31"
655|"2019-05-08"
734|"2020-01-14"
725|"2021-05-29"
813|"2021-09-03"
545|"2019-12-12"
980|"2021-02-08"
718|"2021-11-02"
888|"2022-03-24"
843|"2021-08-27"
1174|"2020-08-14"
163|"2019-02-03"
779|"2022-07-01"
702|"2021-10-02"
823|"2022-05-03"
742|"2019-09-09"
549|"2019-08-17"
763|"2021-06-28"
963|"2022-02-15"
774|"2021-07-08"
1005|"2020-06-27"
794|"2021-07-06"
948|"2021-03-12"
956|"2020-11-03"
801|"2020-11-28"
12|"2022-07-04"
836|"2021-01-07"
886|"2022-08-03"
38|"2020-12-20"
563|"2019-04-12"
584|"2019-01-23"
8|"2022-04-15"
557|"2019-05-16"
808|"2022-07-25"
729|"2019-03-21"
791|"2022-06-16"
598|"2019-05-07"
132|"2020-07-05"
602|"2019-07-05"
849|"2022-03-14"
666|"2020-12-28"
137|"2021-02-14"
961|"2021-03-31"
962|"2020-04-29"
665|"2021-11-23"
1095|"2020-06-20"
719|"2019-09-28"
797|"2020-01-24"
810|"2021-07-16"
2|"2020-03-01"
768|"2021-06-01"
572|"2019-01-21"
1227|"2020-03-30"
601|"2022-01-08"
83|"2022-03-27"
859|"2022-01-19"
1041|"2021-02-11"
696|"2022-05-09"
779|"2019-08-26"
799|"2021-11-25"
782|"2019-07-11"
649|"2019-10-05"
1037|"2020-05-20"
780|"2020-09-26"
618|"2019-06-07"
800|"2020-01-30"
985|"2020-09-02"
636|"2022-01-05"
774|"2019-02-06"
74|"2022-04-10"
896|"2020-11-12"
1071|"2020-10-01"
552|"2019-07-23"
0|"2019-08-19"
162|"2019-10-27"
876|"2021-08-05"
797|"2022-08-11"
277|"2021-08-07"
868|"2022-03-22"
4|"2021-08-15"
6|"2019-09-15"
1100|"2021-03-02"
666|"2019-12-02"
930|"2021-03-16"
975|"2021-03-10"
789|"2022-08-16"
45|"2022-07-20"
509|"2019-03-18"
699|"2019-10-01"
718|"2020-04-11"
812|"2020-12-15"
35|"2020-01-19"
774|"2022-05-10"
1146|"2020-07-23"
114|"2019-12-22"
899|"2020-08-01"
1071|"2020-04-24"
36|"2020-02-02"
1|"2019-02-17"
803|"2020-07-18"
747|"2022-05-12"
907|"2021-03-11"
856|"2020-12-10"
692|"2019-09-02"
652|"2019-05-22"
414|"2022-01-03"
606|"2019-12-20"
620|"2019-12-17"
2|"2019-10-06"
4|"2021-09-05"
1066|"2020-06-30"
682|"2020-12-21"
994|"2020-10-09"
602|"2019-05-14"
598|"2019-11-15"
602|"2019-11-02"
940|"2020-10-20"
