"n_altas"|"C_FECHA_CAMBIO_ESTADO"|"C_PROVEEDOR"|"C_SUBCANAL"|"C_PUNTO"
56|"       2019         45"|"DR TECNOLOGY"|"AGENTE COMERCIAL"|"VENTAS CALLE"
1|"       2022         23"|"EMERGIA"|"TIENDAS MIPYMES"|"STAND PASILLO"
3|"       2021          3"|"ALLUS"|"CALL IN"|"VENTAS FIJA Y MOVIL"
13|"       2022          9"|"SILEC"|"CENTROS COMERCIALES"|"CC PLAZA IMPERIAL"
3|"       2019         18"|"SILEC"|"CENTROS COMERCIALES"|"CC GALERIAS"
101|"       2020         29"|"RGP"|"AGENTE COMERCIAL"|"VENTAS CALLE"
5|"       2021         26"|"EMERGIA"|"CADES"|"CADE MUZU"
16|"       2022         25"|"SP1991"|"CENTROS COMERCIALES"|"CC PORTAL 80"
4|"       2021         11"|"SILEC"|"BACK OFFICE"|"BACK OFFICE"
1|"       2020         40"|"EMERGIA"|"CLIC TO CALL"|"VENTAS CROSS"
62|"       2021         34"|"EMERGIA"|"CLIC TO CALL"|"VENTAS MOVIL"
16|"       2021          4"|"EURONEL"|"CENTROS COMERCIALES"|"CC SALITRE PLAZA"
7|"       2018          8"|"E&D INVERSIONES"|"AGENTE COMERCIAL"|"VENTAS CALLE"
96|"       2019         44"|"PHONEMASTER"|"AGENTE COMERCIAL"|"VENTAS CALLE"
14|"       2019          9"|"VENTAS Y SERVICIOS"|"TIENDAS"|"TIENDA CHICO"
3|"       2021         15"|"SILEC"|"CENTROS COMERCIALES"|"CC CENTRO SUBA"
36|"       2021         48"|"EMERGIA"|"VIRTUAL"|"VENTAS FIJA Y MOVIL"
1|"       2020         23"|"EMERGIA"|"CADES"|"SUPER CADE BOSA"
1|"       2019         36"|"EMERGIA"|"FACE EADS"|"VENTAS FIJA"
51|"       2018         20"|"EMERGIA"|"VIRTUAL"|"VENTAS FIJA Y MOVIL"
2|"       2019         17"|"SILEC"|"CENTROS COMERCIALES"|"CC PLAZA DE LAS AMERICAS"
1|"       2020         17"|"EMERGIA"|"BACK OFFICE"|"VENTAS FIJA Y MOVIL"
93|"       2021         20"|"MAJOREL BUCARAMANGA"|"CALL IN"|"VENTAS FIJA Y MOVIL"
1|"       2018         34"|"ATENTO"|"TIENDAS"|"TIENDA OLAYA"
1|"       2019         21"|"ATENTO"|"VIRTUAL"|"VENTAS FIJA"
3|"       2019         21"|"EMERGIA"|"CALL IN"|"VENTAS FIJA Y MOVIL"
9|"       2020         52"|"ALLUS"|"CALL IN"|"VENTAS FIJA CROSS"
1|"       2020         19"|"SP1991"|"CENTROS COMERCIALES"|"CC METROPOLIS"
34|"       2019          2"|"EMERGIA"|"CALL OUT"|"VENTAS FIJA Y MOVIL"
9|"       2021         31"|"EURONEL"|"CENTROS COMERCIALES"|"CC TITAN PLAZA"
112|"       2021         17"|"EMERGIA"|"CLIC TO CALL"|"VENTAS MOVIL"
23|"       2020         37"|"EMERGIA"|"VIRTUAL"|"VENTAS FIJA Y MOVIL"
17|"       2021         23"|"MOVILSET"|"	AGENTE COMERCIAL"|"VENTAS CALLE"
4|"       2022         19"|"EMERGIA"|"CADES"|"CADE MUZU"
7|"       2021         41"|"EMERGIA"|"AGENTE COMERCIAL"|"AGENTE CALLE"
3|"       2021         45"|"EMERGIA"|"CENTROS COMERCIALES"|"CC SANTA FE"
2|"       2020         40"|"ETB"|"ETB"|"ETB"
45|"       2018         11"|"TEKA SERVICES"|"AGENTE COMERCIAL"|"VENTAS CALLE"
2|"       2019         46"|"INTERCOB"|"AGENTE COMERCIAL"|"VENTAS CALLE"
8|"       2019          7"|"VENTAS Y SERVICIOS"|"TIENDAS"|"TIENDA CHICO"
2|"       2020         12"|"EMERGIA"|"FACE EADS"|"VENTAS FIJA"
1|"       2019         51"|"EMPRESARIAL Y GOBIERNO"|"AGENTE COMERCIAL"|"VENTAS CALLE"
217|"       2020         44"|"EMERGIA"|"CALL IN"|"VENTAS FIJA Y MOVIL"
10|"       2018         16"|"SKYONE"|"CENTROS COMERCIALES"|"CC GRAN ESTACION"
3|"       2019         45"|"SILEC"|"CENTROS COMERCIALES"|"CC SALITRE PLAZA"
44|"       2020         36"|"SOCIOS ON LINE"|"	AGENTE COMERCIAL"|"VENTAS CALLE"
62|"       2018         51"|"UNO27 CALL CENTER"|"CALL OUT"|"VENTAS FIJA Y MOVIL"
3|"       2019          5"|"EMERGIA"|"CLICK TO CALL"|"VENTAS MOVIL"
49|"       2019         30"|"DR TECNOLOGY"|"AGENTE COMERCIAL"|"VENTAS CALLE"
65|"       2020         42"|"SILEC"|"AGENTE COMERCIAL"|"VENTAS CALLE"
10|"       2021         36"|"EURONEL"|"CENTRO COMERCIALES"|"CC HAYUELOS"
118|"       2022          1"|"MAJOREL BUCARAMANGA"|"CALL IN"|"VENTAS FIJA Y MOVIL"
4|"       2019         49"|"SILEC"|"CENTROS COMERCIALES"|"CC PLAZA DE LAS AMERICAS"
5|"       2020         35"|"EMERGIA"|"CADES"|"SUPER CADE SUBA"
46|"       2022         27"|"EURONEL"|"CENTROS COMERCIALES"|"CC TITAN PLAZA"
1|"       2019         11"|"ATENTO"|"TIENDAS"|"BACK CENTRO"
3|"       2020         10"|"SP1991"|"CENTROS COMERCIALES"|"CC PARQUE COLINA"
1|"       2020         19"|"EMERGIA"|"TIENDAS"|"TIENDA SOTANO"
2|"       2021          3"|"VECTOR"|"	AGENTE COMERCIAL"|"helecaba"
1|"       2021          9"|"VECTOR"|"AGENTE COMERCIAL"|"CLIC TO CALL"
27|"       2022         12"|"EMERGIA"|"CLIC TO CALL"|"VENTAS MOVIL"
7|"       2022         21"|"EMERGIA"|"TIENDAS"|"TIENDA OLAYA"
3|"       2019          3"|"SILEC"|"AGENTE COMERCIAL"|"CC CENTRO SUBA"
2|"       2022         16"|"EMERGIA"|"CENTROS COMERCIALES"|"CC CAFAM FLORESTA"
1|"       2022          1"|"SP1991"|"CENTROS COMERCIALES"|"CC PARQUE COLINA"
12|"       2018         50"|"CLOUD COMUNICACIONES"|"AGENTE COMERCIAL"|"VENTAS CALLE"
16|"       2020         29"|"ANV"|"AGENTE COMERCIAL"|"VENTAS CALLE"
4|"       2021         15"|"EMPRESAS Y GOBIERNO"|"EMPRESAS Y GOBIERNO"|"EMPRESAS Y GOBIERNO"
1|"       2021         32"|"ATLANTIC"|"SEGUNDA INSTANCIA"|"NO APLICA"
3|"       2018         16"|"BUSINESS BUSINESS"|"AGENTE COMERCIAL"|"VENTAS PUNTO"
2|"       2019         21"|"EMERGIA"|"FACE EADS"|"VENTAS FIJA"
255|"       2020          8"|"EMERGIA"|"CLIC TO CALL"|"VENTAS MOVIL"
10|"       2018         13"|"VENTAS Y SERVICIOS"|"TIENDAS"|"TIENDA CHICO"
8|"       2018         10"|"SKYONE"|"CENTROS COMERCIALES"|"CC CENTRO MAYOR"
3|"       2019         18"|"SILEC"|"AGENTE COMERCIAL"|"CC CAFAM FLORESTA"
17|"       2020         13"|"EMERGIA"|"C2C 2.0"|"VENTAS FIJA Y MOVIL"
47|"       2018         40"|"EMERGIA"|"CALL IN"|"VENTAS MOVIL"
38|"       2020         33"|"SOCIOS ON LINE"|"	AGENTE COMERCIAL"|"VENTAS CALL CENTER"
7|"       2020         42"|"EMERGIA"|"FACE EADS"|"VENTAS FIJA Y MOVIL"
1|"       2021         47"|"MAJOREL BUCARAMANGA"|"CALL OUT"|"VENTAS FIJA Y MOVIL"
89|"       2018         21"|"EMERGIA"|"CLIC TO CALL"|"VENTAS MOVIL"
7|"       2020         28"|"ATENTO"|"CALL IN"|"VENTAS FIJA CROSS"
12|"       2020         10"|"EMERGIA"|"FACE EADS"|"VENTAS FIJA Y MOVIL"
4|"       2019         20"|"SILEC"|"AGENTE COMERCIAL"|"CC CAFAM FLORESTA"
1|"       2022         30"|"SP1991"|"CENTROS COMERCIALES"|"CC ALTAVISTA"
5|"       2020         33"|"EMERGIA"|"TIENDAS"|"TIENDA OLAYA"
1|"       2018         41"|"ATENTO DAC"|"TIENDAS"|"BACK CHAPINERO"
1|"       2020         16"|"EMERGIA"|"TIENDAS"|"TIENDA OLAYA"
169|"       2022         10"|"EMERGIA"|"WEB LEADS"|"VENTAS FIJAS"
84|"       2018          6"|"VENTAS Y SERVICIOS"|"CALL IN"|"VENTAS FIJA"
49|"       2018         52"|"EMERGIA"|"VIRTUAL"|"VENTAS FIJA Y MOVIL"
82|"       2020         30"|"EMERGIA"|"C2C 2.0"|"VENTAS FIJA Y MOVIL"
