n_altas,C_FECHA_CAMBIO_ESTADO
548,       2018          1
748,       2018          2
1772,       2018          3
1860,       2018          4
2246,       2018          5
1127,       2018          6
2703,       2018          7
1772,       2018          8
2435,       2018          9
1911,       2018         10
1599,       2018         11
1302,       2018         12
1509,       2018         13
1924,       2018         14
1626,       2018         15
1504,       2018         16
1740,       2018         17
1741,       2018         18
1526,       2018         19
1047,       2018         20
1407,       2018         21
1778,       2018         22
1489,       2018         23
1445,       2018         24
1484,       2018         25
1492,       2018         26
1373,       2018         27
1502,       2018         28
1181,       2018         29
1481,       2018         30
1605,       2018         31
1285,       2018         32
1496,       2018         33
1158,       2018         34
1716,       2018         35
1535,       2018         36
1400,       2018         37
1384,       2018         38
1426,       2018         39
1604,       2018         40
1192,       2018         41
1037,       2018         42
1223,       2018         43
1562,       2018         44
1182,       2018         45
1269,       2018         46
1357,       2018         47
1522,       2018         48
1192,       2018         49
1350,       2018         50
1189,       2018         51
839,       2018         52
1021,       2019          1
1088,       2019          2
1266,       2019          3
1278,       2019          4
1257,       2019          5
1477,       2019          6
1272,       2019          7
1229,       2019          8
1440,       2019          9
1213,       2019         10
988,       2019         11
946,       2019         12
793,       2019         13
1202,       2019         14
923,       2019         15
579,       2019         16
1080,       2019         17
921,       2019         18
1044,       2019         19
926,       2019         20
926,       2019         21
1103,       2019         22
935,       2019         23
1040,       2019         24
1001,       2019         25
952,       2019         26
976,       2019         27
1109,       2019         28
1005,       2019         29
1219,       2019         30
1366,       2019         31
1107,       2019         32
1246,       2019         33
1152,       2019         34
1507,       2019         35
1335,       2019         36
1283,       2019         37
1354,       2019         38
1505,       2019         39
1591,       2019         40
1380,       2019         41
1069,       2019         42
1367,       2019         43
1545,       2019         44
1280,       2019         45
1091,       2019         46
1320,       2019         47
1559,       2019         48
1589,       2019         49
1432,       2019         50
1423,       2019         51
714,       2019         52
635,       2020          1
1110,       2020          2
1742,       2020          3
1885,       2020          4
1935,       2020          5
1941,       2020          6
2077,       2020          7
2069,       2020          8
2190,       2020          9
2023,       2020         10
2167,       2020         11
2522,       2020         12
2040,       2020         13
3161,       2020         14
1522,       2020         15
2725,       2020         16
2257,       2020         17
1840,       2020         18
2544,       2020         19
2351,       2020         20
2476,       2020         21
2525,       2020         22
2713,       2020         23
2510,       2020         24
2395,       2020         25
2621,       2020         26
2363,       2020         27
2702,       2020         28
2578,       2020         29
2389,       2020         30
2982,       2020         31
2609,       2020         32
2906,       2020         33
2577,       2020         34
2925,       2020         35
2616,       2020         36
2394,       2020         37
2094,       2020         38
2010,       2020         39
2555,       2020         40
2196,       2020         41
1946,       2020         42
2196,       2020         43
2389,       2020         44
2106,       2020         45
2022,       2020         46
1705,       2020         47
2139,       2020         48
2263,       2020         49
1644,       2020         50
1879,       2020         51
1141,       2020         52
974,       2020         53
1989,       2021          1
1838,       2021          2
2323,       2021          3
2475,       2021          4
2552,       2021          5
2732,       2021          6
2964,       2021          7
2804,       2021          8
2797,       2021          9
2526,       2021         10
2344,       2021         11
2113,       2021         12
1602,       2021         13
2812,       2021         14
2402,       2021         15
2354,       2021         16
2115,       2021         17
2445,       2021         18
2292,       2021         19
1987,       2021         20
2307,       2021         21
2388,       2021         22
1855,       2021         23
1955,       2021         24
2124,       2021         25
2475,       2021         26
1981,       2021         27
2572,       2021         28
2164,       2021         29
2851,       2021         30
2543,       2021         31
2861,       2021         32
2172,       2021         33
2628,       2021         34
2759,       2021         35
2598,       2021         36
2447,       2021         37
2403,       2021         38
2491,       2021         39
2773,       2021         40
2417,       2021         41
1960,       2021         42
2484,       2021         43
2064,       2021         44
2059,       2021         45
1621,       2021         46
2063,       2021         47
2294,       2021         48
1760,       2021         49
2134,       2021         50
1385,       2021         51
1070,       2021         52
195,       2021         53
1722,       2022          1
2062,       2022          2
2803,       2022          3
2942,       2022          4
3163,       2022          5
3060,       2022          6
3150,       2022          7
3012,       2022          8
3158,       2022          9
2818,       2022         10
2792,       2022         11
2472,       2022         12
3017,       2022         13
2882,       2022         14
1733,       2022         15
2687,       2022         16
2822,       2022         17
2799,       2022         18
2525,       2022         19
2468,       2022         20
2729,       2022         21
2463,       2022         22
2790,       2022         23
2657,       2022         24
2258,       2022         25
2445,       2022         26
2382,       2022         27
2783,       2022         28
2345,       2022         29
2872,       2022         30
2829,       2022         31
2696,       2022         32
2431,       2022         33
2860,       2022         34
1529,       2022         35
