"n_altas"|"C_FECHA_CAMBIO_ESTADO"
192|"2020-01-02"
234|"2020-01-03"
208|"2020-01-04"
217|"2020-01-07"
204|"2020-01-08"
232|"2020-01-09"
232|"2020-01-10"
224|"2020-01-11"
243|"2020-01-13"
254|"2020-01-14"
302|"2020-01-15"
301|"2020-01-16"
312|"2020-01-17"
305|"2020-01-18"
286|"2020-01-20"
294|"2020-01-21"
260|"2020-01-22"
336|"2020-01-23"
342|"2020-01-24"
316|"2020-01-25"
288|"2020-01-27"
296|"2020-01-28"
294|"2020-01-29"
329|"2020-01-30"
344|"2020-01-31"
357|"2020-02-01"
307|"2020-02-03"
184|"2020-02-04"
396|"2020-02-05"
355|"2020-02-06"
325|"2020-02-07"
352|"2020-02-08"
338|"2020-02-10"
352|"2020-02-11"
318|"2020-02-12"
326|"2020-02-13"
345|"2020-02-14"
357|"2020-02-15"
320|"2020-02-17"
327|"2020-02-18"
366|"2020-02-19"
331|"2020-02-20"
353|"2020-02-21"
354|"2020-02-22"
299|"2020-02-24"
375|"2020-02-25"
342|"2020-02-26"
366|"2020-02-27"
407|"2020-02-28"
400|"2020-02-29"
344|"2020-03-02"
368|"2020-03-03"
208|"2020-03-04"
369|"2020-03-05"
365|"2020-03-06"
347|"2020-03-07"
362|"2020-03-09"
361|"2020-03-10"
393|"2020-03-11"
350|"2020-03-12"
345|"2020-03-13"
354|"2020-03-14"
367|"2020-03-16"
383|"2020-03-17"
422|"2020-03-18"
443|"2020-03-19"
467|"2020-03-20"
444|"2020-03-21"
422|"2020-03-24"
498|"2020-03-25"
532|"2020-03-26"
393|"2020-03-27"
60|"2020-03-28"
677|"2020-03-30"
537|"2020-03-31"
498|"2020-04-01"
492|"2020-04-02"
477|"2020-04-03"
485|"2020-04-04"
494|"2020-04-06"
490|"2020-04-07"
285|"2020-04-08"
255|"2020-04-11"
482|"2020-04-13"
469|"2020-04-14"
489|"2020-04-15"
460|"2020-04-16"
366|"2020-04-17"
434|"2020-04-18"
409|"2020-04-20"
379|"2020-04-21"
436|"2020-04-22"
366|"2020-04-23"
381|"2020-04-24"
289|"2020-04-25"
284|"2020-04-27"
395|"2020-04-28"
402|"2020-04-29"
390|"2020-04-30"
1|"2020-05-01"
373|"2020-05-02"
420|"2020-05-04"
417|"2020-05-05"
394|"2020-05-06"
455|"2020-05-07"
429|"2020-05-08"
438|"2020-05-09"
413|"2020-05-11"
390|"2020-05-12"
378|"2020-05-13"
387|"2020-05-14"
372|"2020-05-15"
413|"2020-05-16"
414|"2020-05-18"
398|"2020-05-19"
415|"2020-05-20"
414|"2020-05-21"
389|"2020-05-22"
431|"2020-05-23"
428|"2020-05-26"
462|"2020-05-27"
463|"2020-05-28"
508|"2020-05-29"
492|"2020-05-30"
423|"2020-06-01"
444|"2020-06-02"
462|"2020-06-03"
444|"2020-06-04"
467|"2020-06-05"
418|"2020-06-06"
416|"2020-06-08"
465|"2020-06-09"
457|"2020-06-10"
493|"2020-06-11"
460|"2020-06-12"
224|"2020-06-13"
74|"2020-06-15"
482|"2020-06-16"
450|"2020-06-17"
446|"2020-06-18"
484|"2020-06-19"
455|"2020-06-20"
172|"2020-06-22"
470|"2020-06-23"
472|"2020-06-24"
482|"2020-06-25"
494|"2020-06-26"
503|"2020-06-27"
174|"2020-06-29"
485|"2020-06-30"
402|"2020-07-01"
376|"2020-07-02"
435|"2020-07-03"
401|"2020-07-04"
411|"2020-07-06"
449|"2020-07-07"
432|"2020-07-08"
455|"2020-07-09"
409|"2020-07-10"
416|"2020-07-11"
453|"2020-07-13"
393|"2020-07-14"
442|"2020-07-15"
502|"2020-07-16"
471|"2020-07-17"
316|"2020-07-18"
4|"2020-07-20"
538|"2020-07-21"
482|"2020-07-22"
509|"2020-07-23"
492|"2020-07-24"
263|"2020-07-25"
497|"2020-07-27"
497|"2020-07-28"
468|"2020-07-29"
457|"2020-07-30"
533|"2020-07-31"
477|"2020-08-01"
479|"2020-08-03"
493|"2020-08-04"
522|"2020-08-05"
529|"2020-08-06"
137|"2020-08-07"
456|"2020-08-08"
490|"2020-08-10"
470|"2020-08-11"
434|"2020-08-12"
464|"2020-08-13"
536|"2020-08-14"
517|"2020-08-15"
114|"2020-08-17"
476|"2020-08-18"
513|"2020-08-19"
509|"2020-08-20"
496|"2020-08-21"
455|"2020-08-22"
423|"2020-08-24"
518|"2020-08-25"
499|"2020-08-26"
471|"2020-08-27"
452|"2020-08-28"
485|"2020-08-29"
452|"2020-08-31"
454|"2020-09-01"
425|"2020-09-02"
461|"2020-09-03"
423|"2020-09-04"
421|"2020-09-05"
391|"2020-09-07"
452|"2020-09-08"
426|"2020-09-09"
401|"2020-09-10"
380|"2020-09-11"
350|"2020-09-12"
366|"2020-09-14"
369|"2020-09-15"
344|"2020-09-16"
343|"2020-09-17"
344|"2020-09-18"
338|"2020-09-19"
309|"2020-09-21"
365|"2020-09-22"
325|"2020-09-23"
296|"2020-09-24"
375|"2020-09-25"
362|"2020-09-26"
395|"2020-09-28"
443|"2020-09-29"
466|"2020-09-30"
475|"2020-10-01"
403|"2020-10-02"
390|"2020-10-03"
347|"2020-10-05"
365|"2020-10-06"
400|"2020-10-07"
387|"2020-10-08"
366|"2020-10-09"
337|"2020-10-10"
379|"2020-10-13"
402|"2020-10-14"
417|"2020-10-15"
380|"2020-10-16"
367|"2020-10-17"
363|"2020-10-19"
359|"2020-10-20"
378|"2020-10-21"
383|"2020-10-22"
354|"2020-10-23"
357|"2020-10-24"
369|"2020-10-26"
407|"2020-10-27"
398|"2020-10-28"
432|"2020-10-29"
408|"2020-10-30"
387|"2020-10-31"
402|"2020-11-03"
453|"2020-11-04"
421|"2020-11-05"
423|"2020-11-06"
404|"2020-11-07"
351|"2020-11-09"
363|"2020-11-10"
373|"2020-11-11"
349|"2020-11-12"
296|"2020-11-13"
296|"2020-11-14"
339|"2020-11-17"
358|"2020-11-18"
339|"2020-11-19"
343|"2020-11-20"
328|"2020-11-21"
313|"2020-11-23"
374|"2020-11-24"
383|"2020-11-25"
373|"2020-11-26"
359|"2020-11-27"
350|"2020-11-28"
397|"2020-11-30"
398|"2020-12-01"
389|"2020-12-02"
353|"2020-12-03"
354|"2020-12-04"
372|"2020-12-05"
310|"2020-12-07"
320|"2020-12-09"
351|"2020-12-10"
337|"2020-12-11"
332|"2020-12-12"
303|"2020-12-14"
356|"2020-12-15"
327|"2020-12-16"
319|"2020-12-17"
291|"2020-12-18"
294|"2020-12-19"
280|"2020-12-21"
286|"2020-12-22"
237|"2020-12-23"
155|"2020-12-24"
182|"2020-12-26"
289|"2020-12-28"
298|"2020-12-29"
255|"2020-12-30"
134|"2020-12-31"
195|"2021-01-02"
303|"2021-01-04"
354|"2021-01-05"
339|"2021-01-06"
345|"2021-01-07"
329|"2021-01-08"
349|"2021-01-09"
350|"2021-01-12"
393|"2021-01-13"
364|"2021-01-14"
402|"2021-01-15"
330|"2021-01-16"
363|"2021-01-18"
391|"2021-01-19"
370|"2021-01-20"
397|"2021-01-21"
405|"2021-01-22"
394|"2021-01-23"
381|"2021-01-25"
401|"2021-01-26"
400|"2021-01-27"
430|"2021-01-28"
370|"2021-01-29"
406|"2021-01-30"
367|"2021-02-01"
412|"2021-02-02"
448|"2021-02-03"
404|"2021-02-04"
424|"2021-02-05"
426|"2021-02-06"
407|"2021-02-08"
421|"2021-02-09"
446|"2021-02-10"
473|"2021-02-11"
458|"2021-02-12"
461|"2021-02-13"
475|"2021-02-15"
497|"2021-02-16"
512|"2021-02-17"
491|"2021-02-18"
478|"2021-02-19"
462|"2021-02-20"
485|"2021-02-22"
435|"2021-02-23"
459|"2021-02-24"
473|"2021-02-25"
468|"2021-02-26"
467|"2021-02-27"
440|"2021-03-01"
496|"2021-03-02"
481|"2021-03-03"
456|"2021-03-04"
472|"2021-03-05"
467|"2021-03-06"
427|"2021-03-08"
450|"2021-03-09"
445|"2021-03-10"
407|"2021-03-11"
428|"2021-03-12"
380|"2021-03-13"
414|"2021-03-15"
418|"2021-03-16"
417|"2021-03-17"
396|"2021-03-18"
363|"2021-03-19"
381|"2021-03-20"
419|"2021-03-23"
409|"2021-03-24"
452|"2021-03-25"
425|"2021-03-26"
400|"2021-03-27"
433|"2021-03-29"
442|"2021-03-30"
485|"2021-03-31"
1|"2021-04-02"
241|"2021-04-03"
456|"2021-04-05"
504|"2021-04-06"
462|"2021-04-07"
