n_altas,C_FECHA_CAMBIO_ESTADO
241,2/01/2020
281,3/01/2020
266,4/01/2020
1,6/01/2020
282,7/01/2020
280,8/01/2020
301,9/01/2020
307,10/01/2020
292,11/01/2020
352,13/01/2020
351,14/01/2020
389,15/01/2020
385,16/01/2020
378,17/01/2020
352,18/01/2020
370,20/01/2020
362,21/01/2020
310,22/01/2020
388,23/01/2020
392,24/01/2020
363,25/01/2020
355,27/01/2020
374,28/01/2020
359,29/01/2020
378,30/01/2020
383,31/01/2020
379,1/02/2020
367,3/02/2020
217,4/02/2020
476,5/02/2020
425,6/02/2020
399,7/02/2020
397,8/02/2020
394,10/02/2020
406,11/02/2020
403,12/02/2020
404,13/02/2020
430,14/02/2020
423,15/02/2020
402,17/02/2020
402,18/02/2020
412,19/02/2020
399,20/02/2020
449,21/02/2020
396,22/02/2020
363,24/02/2020
444,25/02/2020
395,26/02/2020
421,27/02/2020
462,28/02/2020
438,29/02/2020
414,2/03/2020
417,3/03/2020
252,4/03/2020
428,5/03/2020
429,6/03/2020
407,7/03/2020
438,9/03/2020
428,10/03/2020
453,11/03/2020
413,12/03/2020
421,13/03/2020
418,14/03/2020
448,16/03/2020
443,17/03/2020
474,18/03/2020
507,19/03/2020
514,20/03/2020
475,21/03/2020
462,24/03/2020
528,25/03/2020
563,26/03/2020
418,27/03/2020
67,28/03/2020
707,30/03/2020
559,31/03/2020
534,1/04/2020
527,2/04/2020
517,3/04/2020
531,4/04/2020
537,6/04/2020
556,7/04/2020
326,8/04/2020
284,11/04/2020
535,13/04/2020
531,14/04/2020
565,15/04/2020
546,16/04/2020
439,17/04/2020
526,18/04/2020
502,20/04/2020
450,21/04/2020
545,22/04/2020
470,23/04/2020
468,24/04/2020
387,25/04/2020
371,27/04/2020
501,28/04/2020
532,29/04/2020
517,30/04/2020
1,1/05/2020
485,2/05/2020
531,4/05/2020
536,5/05/2020
470,6/05/2020
577,7/05/2020
532,8/05/2020
523,9/05/2020
542,11/05/2020
508,12/05/2020
544,13/05/2020
551,14/05/2020
526,15/05/2020
504,16/05/2020
528,18/05/2020
519,19/05/2020
525,20/05/2020
