"n_altas"|"C_FECHA_CAMBIO_ESTADO"
193|"2020-01-02"
234|"2020-01-03"
208|"2020-01-04"
1|"2020-01-06"
218|"2020-01-07"
204|"2020-01-08"
233|"2020-01-09"
231|"2020-01-10"
224|"2020-01-11"
244|"2020-01-13"
259|"2020-01-14"
301|"2020-01-15"
299|"2020-01-16"
315|"2020-01-17"
306|"2020-01-18"
288|"2020-01-20"
293|"2020-01-21"
260|"2020-01-22"
337|"2020-01-23"
343|"2020-01-24"
316|"2020-01-25"
288|"2020-01-27"
296|"2020-01-28"
295|"2020-01-29"
328|"2020-01-30"
351|"2020-01-31"
357|"2020-02-01"
305|"2020-02-03"
186|"2020-02-04"
397|"2020-02-05"
353|"2020-02-06"
325|"2020-02-07"
352|"2020-02-08"
337|"2020-02-10"
352|"2020-02-11"
319|"2020-02-12"
326|"2020-02-13"
347|"2020-02-14"
357|"2020-02-15"
320|"2020-02-17"
327|"2020-02-18"
364|"2020-02-19"
330|"2020-02-20"
356|"2020-02-21"
353|"2020-02-22"
300|"2020-02-24"
375|"2020-02-25"
342|"2020-02-26"
367|"2020-02-27"
409|"2020-02-28"
400|"2020-02-29"
345|"2020-03-02"
367|"2020-03-03"
208|"2020-03-04"
368|"2020-03-05"
364|"2020-03-06"
347|"2020-03-07"
363|"2020-03-09"
360|"2020-03-10"
394|"2020-03-11"
351|"2020-03-12"
348|"2020-03-13"
353|"2020-03-14"
367|"2020-03-16"
383|"2020-03-17"
422|"2020-03-18"
444|"2020-03-19"
467|"2020-03-20"
444|"2020-03-21"
420|"2020-03-24"
497|"2020-03-25"
532|"2020-03-26"
391|"2020-03-27"
60|"2020-03-28"
678|"2020-03-30"
537|"2020-03-31"
498|"2020-04-01"
492|"2020-04-02"
475|"2020-04-03"
485|"2020-04-04"
494|"2020-04-06"
489|"2020-04-07"
285|"2020-04-08"
254|"2020-04-11"
483|"2020-04-13"
469|"2020-04-14"
489|"2020-04-15"
461|"2020-04-16"
366|"2020-04-17"
433|"2020-04-18"
409|"2020-04-20"
379|"2020-04-21"
436|"2020-04-22"
366|"2020-04-23"
381|"2020-04-24"
288|"2020-04-25"
284|"2020-04-27"
393|"2020-04-28"
402|"2020-04-29"
389|"2020-04-30"
1|"2020-05-01"
373|"2020-05-02"
419|"2020-05-04"
416|"2020-05-05"
393|"2020-05-06"
455|"2020-05-07"
428|"2020-05-08"
437|"2020-05-09"
411|"2020-05-11"
391|"2020-05-12"
378|"2020-05-13"
388|"2020-05-14"
373|"2020-05-15"
413|"2020-05-16"
